# English link-stemming table for BibleSearch (word<TAB>link heads).
# Built with tools/eng_links/build_links.py from:
#  - AGID (Automatically Generated Inflection Database), Rev. 4.
#    Copyright 2000-2003 by Kevin Atkinson. Permission to use, copy, modify,
#    distribute and sell this database, the associated scripts, the output
#    created from the scripts and its documentation for any purpose is hereby
#    granted without fee, provided that the above copyright notice appears in
#    all copies. http://wordlist.aspell.net/
#  - Open English WordNet 2025, by the Open English WordNet Community,
#    CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/), derived from
#    Princeton WordNet 3.0, Copyright 2006 by Princeton University.
#    https://en-word.net/
beraiah	beraiah
berak	berak
berea	berea
berean	berean
bereave	bereave
bereaved	bereave
bereavement	bereave
bereaves	bereave
bereaving	bereave
berechiah	berechiah
bered	bered
bereft	bereave,bereft
beri	beri
beriah	beriah
beriite	beri
berites	bera
berith	berith
bernice	bernice
berothah	berothah
berothai	berothai
berries	berry
berry	berry
beryl	beryl
besai	besai
beseech	beseech
beseeching	beseech
beseth	beseth
beside	side
besides	side
besiege	besiege
besieged	besiege
besiegers	besiege
besieges	besiege
besodeiah	besodeiah
besor	besor
best	best,good,well
bestow	bestow
bestowed	bestow
bestows	bestow
betah	betah
beten	beten
beth	beth
bethany	bethany
bethel	bethel
bethelite	bethel,bether
bether	bether
bethesda	bethesda
bethlehem	bethlehem
bethlehemite	bethlehem
bethphage	bethphage
bethsaida	bethsaida
bethuel	bethuel
bethul	bethul
betonim	betonim
betray	betray
betrayed	betray
betrayer	betray
betrayers	betray
betraying	betray
betroth	betroth
betrothal	betroth
betrothed	betroth,betrothed
better	bet,good,well
between	between
beulah	beulah
beveled	bevel
beware	beware
bewildered	bewilder
bewitched	bewitch
beyond	beyond
bezai	bezai
bezalel	bezalel
bezek	bezek
bezer	bezer
bichri	bichri
bid	bid
bidkar	bidkar
bier	bier
big	big
bigtha	bigtha
bigthan	bigthan
bigvai	bigvai
bildad	bildad
bileam	bileam
bilgah	bilgah
bilgai	bilgai
bilhah	bilhah
bilhan	bilhan
bill	bill
billows	billow
bilshan	bilshan
bimhal	bimhal
bind	bind
binding	bind
binds	bind
binea	binea
binnui	binnui
bird	bird
birds	bird
biri	biri
birsha	birsha
birth	birth
birthday	birthday
birthing	birth,birthe,birthing
birthright	birthright
births	birth
birthstools	birthstools
birzaith	birzaith
bishlam	bishlam
bit	bit,bite
bite	bite
bites	bite
bithiah	bithiah
bithynia	bithynia
biting	bite
bits	bit
bitten	bite
bitter	bitt
bitterly	bitt
bitterness	bitt
biziothiah	biziothiah
biztha	biztha
black	black
blackness	black
blacksmith	blacksmith
blade	blade
blame	blame
blamed	blame
blameless	blame
blamelessly	blame
blamelessness	blame
blanket	blanket
blaspheme	blaspheme
blasphemed	blaspheme
blasphemer	blaspheme
blasphemes	blaspheme
blasphemies	blasphemy
blaspheming	blaspheme
blasphemous	blaspheme,blasphemy
blasphemy	blasphemy
blast	blast
blastus	blastus
blaze	blaze
blazed	blaze
blazing	blaze
bleat	bleat
bleating	bleat
blemish	blemish
blemished	blemish
blemishes	blemish
bless	bless
blessed	bless
blessedness	bless
blesses	bless
blessing	bless
blessings	bless
blew	blow
blight	blight
blighted	blight
blind	blind
blinded	blind
blindfolded	blindfold
blindness	blind
blinds	blind
blisters	blister
block	block
blocked	bloc,block
blocks	block
blood	blood
bloodguilt	bloodguilt
bloods	blood
bloodshed	bloodshed
bloomed	bloom
blossom	blossom
blossomed	blossom
blossoms	blossom
blot	blot
blotted	blot
blotting	blot
blow	blow
blowing	blow
blown	blow
blows	blow
blue	blue
blunt	blunt
blush	blush
boanerges	boanerges
boar	boar
board	board
boarded	board
boards	board
boast	boast
boasted	boast
boasters	boast
boastfully	boast
boasting	boast,boasting
boasts	boast
boat	boat
boats	boat
boaz	boaz
bocheru	bocheru
bochim	bochim
bodies	body
bodily	body
body	body
bohan	bohan
boil	boil
boiled	boil
boiling	boil,boiling
boils	boil
boisterous	boisterous
bold	bold
boldly	bold
boldness	bold
bolt	bolt
bolted	bolt
bolts	bolt
bond	bond
bondage	bondage
bonds	bond
bone	bone
boned	bone
bones	bone
book	book
books	book
boot	boot
booth	booth
booths	booth
bor	bor
border	border
bordered	border
borders	border
bore	bear,bore
bored	bore
born	bear,born
borne	bear
borrow	borrow
borrowed	borrow
borrower	borrow
borrowing	borrow,borrowing
borrows	borrow
bosheth	bosheth
bosom	bosom
bosses	bos,boss
both	both
bottle	bottle
bottles	bottle
bottom	bottom
bough	bough
boughs	bough
bought	buy
bound	bind,bound
boundaries	boundary
boundary	boundary
bounding	bound
bounds	bound
bountifully	bounty
bow	bow
bowed	bow
bowels	bowel
bowing	bow,bowing
bowl	bowl
bowls	bowl
bowman	bowman
bows	bow
bowstring	bowstring
bowstrings	bowstring
boxes	box
boxwood	boxwood
boy	boy
boys	boy
bozenai	bozenai
bozez	bozez
bozkath	bozkath
boznai	boznai
bozrah	bozrah
braced	brace
bracelet	bracelet
bracelets	bracelet
braided	braid
braiding	braid,braiding
braids	braid
bramble	bramble
branch	branch
branches	branch
brass	brass
brawler	brawl
bray	bray
breach	breach
breached	breach
breaches	breach
bread	bread
breadth	broad
breadths	broad
break	break
breakers	break
breakfast	breakfast
breaking	break,breaking
breaks	break
breakthrough	breakthrough
breast	breast
breastplate	breastplate
breastplates	breastplate
breasts	breast
breath	breath
breathe	breathe
breathed	breath,breathe
breathes	breathe
breathing	breathe
bred	breed
breed	breed
breeder	breed
breeze	breeze
bribe	bribe
bribed	bribe
bribery	bribe
bribes	bribe
brick	brick
bricks	brick
bride	bride
bridechamber	bridechamber
bridegroom	bridegroom
brides	bride
bridle	bridle
bridles	bridle
bridling	bridle
brief	brief
briefly	brief
brier	brier
briers	brier
bright	bright
brighter	bright
brightness	bright
brim	brim
brimstone	brimstone
bring	bring
bringing	bring,bringing
brings	bring
bristle	bristle
bristled	bristle
bristles	bristle
bristling	bristle
brittle	brittle
broad	broad
broaden	broad
